"asc_car","asc_train","asc_air","b_gc_inc","b_invt","logLike"
0,0,0,0,0,-291.121815835177
0,0,0,0,0,0,-291.121815835177
6.656e-07,1.0752e-06,5.632e-07,0,-5.82441248415052e-06,-0.0011895552,-285.969724091635
0.0927985247201338,0.137255593115694,-0.110504137450764,0,-0.308324246939948,-0.00100370554021827,-280.467010070569
0.267652601984436,1.02937293914851,-0.55918961372773,0,-0.232861577008773,-0.00244565308586892,-272.921983606261
0.660331947159498,1.0608341459459,-0.801450831634078,0,-0.122062479347294,-0.00320574368159423,-270.653376144483
0.525055735049982,0.910558513960977,-1.09268467547179,0,-0.100294508628543,-0.00354958227130667,-269.934494290056
0.385659857058887,0.631032378430654,-1.03501302402744,0,-0.070995441418263,-0.00303260538786196,-269.262508796366
0.413571163732143,0.6952269803856,-1.07855120093015,0,-0.0736136176995186,-0.00321589622070798,-269.179856198431
0.410957736437873,0.691935709733023,-1.07704589890887,0,-0.0735376991160313,-0.00320917082858003,-269.179669300484
0.411115414744234,0.691957838490028,-1.07670300724458,0,-0.0734772816676897,-0.00320889986303082,-269.179668461
0.411115414747227,0.691957838434514,-1.07670300714736,0,-0.0734772814814026,-0.00320893310256586,-269.179668450218
0.411114721338694,0.691958317372076,-1.07670150839191,0,-0.0734772836869778,-0.00320894294606586,-269.179668449333
